TEAM_ABBREVIATION,PLAYER_NAME,START_POSITION,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
MIN,Anthony Edwards,F,63,471.0,1086.0,0.4337,178.0,522.0,0.341,190.0,243.0,0.7819,0.52,0.86,3.7,4.56,3.63,1.52,0.7,2.73,2.29,20.79,172.0
MIN,Jaden McDaniels,F,70,253.0,553.0,0.4575,79.0,252.0,0.3135,54.0,68.0,0.7941,0.53,1.14,3.09,4.23,1.13,0.8,0.73,1.1,3.29,9.13,-4.0
MIN,Karl-Anthony Towns,C,66,555.0,1052.0,0.5276,126.0,322.0,0.3913,328.0,401.0,0.818,0.59,2.61,7.02,9.62,3.79,0.97,1.15,3.0,3.48,23.7,257.0
MIN,Malik Beasley,G,72,315.0,806.0,0.3908,220.0,593.0,0.371,38.0,49.0,0.7755,0.53,0.35,2.57,2.92,1.43,0.53,0.15,0.58,1.21,12.33,74.0
MIN,D'Angelo Russell,G,57,362.0,869.0,0.4166,164.0,465.0,0.3527,175.0,210.0,0.8333,0.51,0.39,3.05,3.44,7.14,0.93,0.39,2.58,2.07,18.65,246.0
MIN,Naz Reid,C,70,217.0,444.0,0.4887,50.0,150.0,0.3333,107.0,141.0,0.7589,0.55,1.34,2.7,4.04,0.97,0.53,0.99,1.1,2.17,8.44,-31.0
MIN,Jordan McLaughlin,G,52,64.0,164.0,0.3902,16.0,64.0,0.25,26.0,35.0,0.7429,0.44,0.29,1.19,1.48,2.85,0.94,0.12,0.54,0.73,3.27,45.0
MIN,Jaylen Nowell,G,54,167.0,353.0,0.4731,50.0,133.0,0.3759,55.0,70.0,0.7857,0.54,0.39,1.67,2.06,2.2,0.52,0.15,0.48,1.13,8.13,76.0
MIN,Taurean Prince,F,61,145.0,322.0,0.4503,73.0,192.0,0.3802,44.0,59.0,0.7458,0.56,0.33,2.07,2.39,0.92,0.69,0.3,0.8,1.41,6.67,36.0
MIN,Josh Okogie,F,41,38.0,96.0,0.3958,14.0,46.0,0.3043,33.0,48.0,0.6875,0.47,0.66,1.05,1.71,0.51,0.61,0.32,0.51,1.2,3.0,47.0
MIA,Duncan Robinson,F,71,269.0,671.0,0.4009,211.0,571.0,0.3695,45.0,55.0,0.8182,0.56,0.31,2.35,2.66,1.68,0.51,0.21,0.92,2.59,11.18,86.0
MIA,P.J. Tucker,F,65,194.0,400.0,0.485,81.0,188.0,0.4309,40.0,56.0,0.7143,0.59,1.49,3.83,5.32,2.06,0.8,0.22,0.97,2.4,7.83,202.0
MIA,Bam Adebayo,C,48,348.0,638.0,0.5455,0.0,5.0,0.0,206.0,276.0,0.7464,0.55,2.42,7.58,10.0,3.33,1.48,0.85,2.77,3.08,18.79,232.0
MIA,Gabe Vincent,G,64,208.0,496.0,0.4194,114.0,312.0,0.3654,45.0,56.0,0.8036,0.53,0.34,1.5,1.84,3.36,0.94,0.2,1.5,2.28,8.98,68.0
MIA,Kyle Lowry,G,56,225.0,545.0,0.4128,113.0,325.0,0.3477,127.0,151.0,0.8411,0.52,0.57,3.98,4.55,7.75,1.18,0.3,2.88,2.73,12.32,219.0
MIA,Tyler Herro,G,61,471.0,1054.0,0.4469,162.0,410.0,0.3951,178.0,204.0,0.8725,0.52,0.48,4.28,4.75,3.79,0.7,0.15,2.62,1.36,21.02,242.0
MIA,Max Strus,F,62,232.0,525.0,0.4419,167.0,404.0,0.4134,43.0,55.0,0.7818,0.6,0.44,2.74,3.18,1.29,0.39,0.21,0.77,1.71,10.87,118.0
MIA,Markieff Morris,F,16,50.0,111.0,0.4505,9.0,33.0,0.2727,12.0,15.0,0.8,0.49,1.31,2.19,3.5,1.31,0.38,0.19,1.31,1.81,7.56,73.0
MIA,Dewayne Dedmon,C,63,150.0,269.0,0.5576,16.0,38.0,0.4211,69.0,88.0,0.7841,0.59,1.62,4.24,5.86,0.71,0.35,0.63,1.08,2.57,6.11,98.0
MIA,Haywood Highsmith,,13,9.0,26.0,0.3462,7.0,17.0,0.4118,2.0,4.0,0.5,0.48,0.54,0.77,1.31,0.08,0.08,0.15,0.15,0.69,2.08,-39.0
CLE,Dean Wade,F,55,106.0,231.0,0.4589,55.0,152.0,0.3618,25.0,39.0,0.641,0.58,0.67,2.35,3.02,1.09,0.6,0.15,0.36,1.65,5.31,52.0
CLE,Kevin Love,F,64,267.0,629.0,0.4245,150.0,384.0,0.3906,160.0,187.0,0.8556,0.54,1.02,5.84,6.86,2.11,0.31,0.23,1.23,1.23,13.19,125.0
CLE,Evan Mobley,C,64,373.0,750.0,0.4973,22.0,85.0,0.2588,152.0,225.0,0.6756,0.51,1.94,6.3,8.23,2.5,0.84,1.66,1.91,2.2,14.38,93.0
CLE,Isaac Okoro,G,57,173.0,376.0,0.4601,43.0,137.0,0.3139,101.0,132.0,0.7652,0.52,1.09,1.91,3.0,1.72,0.84,0.3,1.04,2.53,8.6,49.0
CLE,Darius Garland,G,57,432.0,919.0,0.4701,142.0,378.0,0.3757,148.0,164.0,0.9024,0.55,0.51,2.75,3.26,7.95,1.23,0.11,3.96,1.75,20.25,249.0
CLE,Lamar Stevens,G,52,104.0,227.0,0.4581,13.0,50.0,0.26,32.0,51.0,0.6275,0.49,0.65,1.69,2.35,0.6,0.4,0.27,0.62,1.44,4.87,-4.0
CLE,Cedi Osman,G,59,228.0,533.0,0.4278,120.0,333.0,0.3604,74.0,114.0,0.6491,0.54,0.34,1.83,2.17,2.07,0.86,0.14,1.07,1.95,11.02,-32.0
LAL/CLE,Rajon Rondo,G,41,70.0,179.0,0.3911,30.0,86.0,0.3488,19.0,26.0,0.7308,0.47,0.37,2.71,3.07,4.05,0.68,0.15,1.9,1.34,4.61,-160.0
CLE,Ed Davis,C,24,11.0,16.0,0.6875,0.0,0.0,,6.0,14.0,0.4286,0.69,0.5,1.96,2.46,0.21,0.12,0.33,0.21,1.29,1.17,-5.0
CLE,Brandon Goodwin,G,24,51.0,127.0,0.4016,16.0,48.0,0.3333,13.0,21.0,0.619,0.46,0.5,1.88,2.38,3.42,0.88,0.0,1.08,1.33,5.46,31.0
CHI,Javonte Green,F,54,151.0,277.0,0.5451,31.0,81.0,0.3827,71.0,84.0,0.8452,0.6,1.54,2.76,4.3,0.96,1.02,0.61,0.48,2.09,7.48,88.0
CHI,DeMar DeRozan,F,67,672.0,1339.0,0.5019,43.0,124.0,0.3468,448.0,515.0,0.8699,0.52,0.81,4.54,5.34,4.97,0.9,0.33,2.36,2.13,27.39,258.0
CHI,Nikola Vucevic,C,63,477.0,1004.0,0.4751,86.0,292.0,0.2945,82.0,106.0,0.7736,0.52,1.97,9.37,11.33,3.38,1.08,1.05,1.94,2.59,17.81,168.0
CHI,Coby White,G,47,228.0,510.0,0.4471,110.0,274.0,0.4015,67.0,79.0,0.8481,0.55,0.34,2.85,3.19,3.02,0.47,0.23,1.13,2.19,13.47,20.0
